city,year,weekofyear,total_cases
sj,2008,18,29
sj,2008,19,11
sj,2008,20,48
sj,2008,21,55
sj,2008,22,39
sj,2008,23,62
sj,2008,24,17
sj,2008,25,62
sj,2008,26,37
sj,2008,27,36
sj,2008,28,16
sj,2008,29,18
sj,2008,30,4
sj,2008,31,17
sj,2008,32,7
sj,2008,33,25
sj,2008,34,26
sj,2008,35,24
sj,2008,36,23
sj,2008,37,47
sj,2008,38,71
sj,2008,39,45
sj,2008,40,46
sj,2008,41,86
sj,2008,42,43
sj,2008,43,52
sj,2008,44,75
sj,2008,45,71
sj,2008,46,44
sj,2008,47,51
sj,2008,48,45
sj,2008,49,53
sj,2008,50,51
sj,2008,51,12
sj,2008,52,23
sj,2009,1,54
sj,2009,2,15
sj,2009,3,13
sj,2009,4,16
sj,2009,5,65
sj,2009,6,25
sj,2009,7,38
sj,2009,8,21
sj,2009,9,24
sj,2009,10,15
sj,2009,11,11
sj,2009,12,21
sj,2009,13,12
sj,2009,14,9
sj,2009,15,12
sj,2009,16,3
sj,2009,17,9
sj,2009,18,4
sj,2009,19,3
sj,2009,20,5
sj,2009,21,7
sj,2009,22,6
sj,2009,23,4
sj,2009,24,4
sj,2009,25,5
sj,2009,26,4
sj,2009,27,7
sj,2009,28,5
sj,2009,29,17
sj,2009,30,6
sj,2009,31,8
sj,2009,32,14
sj,2009,33,13
sj,2009,34,18
sj,2009,35,35
sj,2009,36,38
sj,2009,37,41
sj,2009,38,26
sj,2009,39,39
sj,2009,40,63
sj,2009,41,51
sj,2009,42,54
sj,2009,43,23
sj,2009,44,19
sj,2009,45,15
sj,2009,46,16
sj,2009,47,38
sj,2009,48,44
sj,2009,49,40
sj,2009,50,30
sj,2009,51,12
sj,2009,52,22
sj,2010,53,53
sj,2010,1,70
sj,2010,2,72
sj,2010,3,87
sj,2010,4,20
sj,2010,5,21
sj,2010,6,33
sj,2010,7,20
sj,2010,8,20
sj,2010,9,46
sj,2010,10,31
sj,2010,11,40
sj,2010,12,8
sj,2010,13,3
sj,2010,14,6
sj,2010,15,4
sj,2010,16,5
sj,2010,17,14
sj,2010,18,8
sj,2010,19,9
sj,2010,20,5
sj,2010,21,4
sj,2010,22,7
sj,2010,23,5
sj,2010,24,22
sj,2010,25,25
sj,2010,26,25
sj,2010,27,33
sj,2010,28,14
sj,2010,29,22
sj,2010,30,26
sj,2010,31,19
sj,2010,32,20
sj,2010,33,21
sj,2010,34,30
sj,2010,35,45
sj,2010,36,38
sj,2010,37,49
sj,2010,38,29
sj,2010,39,29
sj,2010,40,28
sj,2010,41,34
sj,2010,42,44
sj,2010,43,16
sj,2010,44,5
sj,2010,45,18
sj,2010,46,36
sj,2010,47,27
sj,2010,48,18
sj,2010,49,13
sj,2010,50,18
sj,2010,51,3
sj,2011,52,14
sj,2011,1,14
sj,2011,2,36
sj,2011,3,7
sj,2011,4,10
sj,2011,5,12
sj,2011,6,9
sj,2011,7,6
sj,2011,8,9
sj,2011,9,11
sj,2011,10,14
sj,2011,11,4
sj,2011,12,5
sj,2011,13,3
sj,2011,14,3
sj,2011,15,3
sj,2011,16,3
sj,2011,17,3
sj,2011,18,3
sj,2011,19,3
sj,2011,20,4
sj,2011,21,9
sj,2011,22,17
sj,2011,23,20
sj,2011,24,19
sj,2011,25,14
sj,2011,26,6
sj,2011,27,13
sj,2011,28,14
sj,2011,29,17
sj,2011,30,15
sj,2011,31,16
sj,2011,32,17
sj,2011,33,7
sj,2011,34,13
sj,2011,35,12
sj,2011,36,12
sj,2011,37,14
sj,2011,38,20
sj,2011,39,23
sj,2011,40,11
sj,2011,41,4
sj,2011,42,6
sj,2011,43,10
sj,2011,44,8
sj,2011,45,7
sj,2011,46,18
sj,2011,47,19
sj,2011,48,17
sj,2011,49,16
sj,2011,50,31
sj,2011,51,10
sj,2012,52,18
sj,2012,1,6
sj,2012,2,4
sj,2012,3,4
sj,2012,4,11
sj,2012,5,5
sj,2012,6,4
sj,2012,7,3
sj,2012,8,5
sj,2012,9,3
sj,2012,10,3
sj,2012,11,2
sj,2012,12,2
sj,2012,13,2
sj,2012,14,2
sj,2012,15,2
sj,2012,16,2
sj,2012,17,2
sj,2012,18,3
sj,2012,19,3
sj,2012,20,3
sj,2012,21,4
sj,2012,22,4
sj,2012,23,3
sj,2012,24,3
sj,2012,25,3
sj,2012,26,4
sj,2012,27,4
sj,2012,28,4
sj,2012,29,6
sj,2012,30,9
sj,2012,31,10
sj,2012,32,12
sj,2012,33,10
sj,2012,34,8
sj,2012,35,7
sj,2012,36,7
sj,2012,37,4
sj,2012,38,4
sj,2012,39,4
sj,2012,40,5
sj,2012,41,10
sj,2012,42,8
sj,2012,43,11
sj,2012,44,11
sj,2012,45,10
sj,2012,46,11
sj,2012,47,10
sj,2012,48,12
sj,2012,49,12
sj,2012,50,7
sj,2012,51,4
sj,2013,1,3
sj,2013,2,2
sj,2013,3,2
sj,2013,4,3
sj,2013,5,3
sj,2013,6,2
sj,2013,7,3
sj,2013,8,3
sj,2013,9,2
sj,2013,10,2
sj,2013,11,2
sj,2013,12,2
sj,2013,13,2
sj,2013,14,2
sj,2013,15,2
sj,2013,16,2
sj,2013,17,2
iq,2010,26,6
iq,2010,27,1
iq,2010,28,1
iq,2010,29,1
iq,2010,30,0
iq,2010,31,0
iq,2010,32,0
iq,2010,33,0
iq,2010,34,1
iq,2010,35,0
iq,2010,36,0
iq,2010,37,0
iq,2010,38,0
iq,2010,39,0
iq,2010,40,0
iq,2010,41,0
iq,2010,42,0
iq,2010,43,0
iq,2010,44,0
iq,2010,45,0
iq,2010,46,0
iq,2010,47,0
iq,2010,48,9
iq,2010,49,0
iq,2010,50,6
iq,2010,51,7
iq,2011,52,1
iq,2011,1,5
iq,2011,2,9
iq,2011,3,3
