city,year,weekofyear,week_start_date,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,precipitation_amt_mm,reanalysis_air_temp_k,reanalysis_avg_temp_k,reanalysis_dew_point_temp_k,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_sat_precip_amt_mm,reanalysis_specific_humidity_g_per_kg,reanalysis_tdtr_k,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,station_precip_mm,month,rolling_sum_precipitation_amt_mm,rolling_sum_reanalysis_sat_precip_amt_mm,rolling_sum_station_precip_mm,rolling_avg_ndvi_ne,rolling_avg_ndvi_nw,rolling_avg_ndvi_se,rolling_avg_ndvi_sw,rolling_avg_reanalysis_air_temp_k,rolling_avg_reanalysis_avg_temp_k,rolling_avg_reanalysis_dew_point_temp_k,rolling_avg_reanalysis_max_air_temp_k,rolling_avg_reanalysis_min_air_temp_k,rolling_avg_reanalysis_precip_amt_kg_per_m2,rolling_avg_reanalysis_relative_humidity_percent,rolling_avg_reanalysis_specific_humidity_g_per_kg,rolling_avg_reanalysis_tdtr_k,rolling_avg_station_avg_temp_c,rolling_avg_station_diur_temp_rng_c,rolling_avg_station_max_temp_c,rolling_avg_station_min_temp_c,lag_1_precipitation_amt_mm,lag_2_precipitation_amt_mm,lag_1_reanalysis_sat_precip_amt_mm,lag_2_reanalysis_sat_precip_amt_mm,lag_1_station_precip_mm,lag_2_station_precip_mm,lag_1_ndvi_ne,lag_2_ndvi_ne,lag_1_ndvi_nw,lag_2_ndvi_nw,lag_1_ndvi_se,lag_2_ndvi_se,lag_1_ndvi_sw,lag_2_ndvi_sw,lag_1_reanalysis_air_temp_k,lag_2_reanalysis_air_temp_k,lag_1_reanalysis_avg_temp_k,lag_2_reanalysis_avg_temp_k,lag_1_reanalysis_dew_point_temp_k,lag_2_reanalysis_dew_point_temp_k,lag_1_reanalysis_max_air_temp_k,lag_2_reanalysis_max_air_temp_k,lag_1_reanalysis_min_air_temp_k,lag_2_reanalysis_min_air_temp_k,lag_1_reanalysis_precip_amt_kg_per_m2,lag_2_reanalysis_precip_amt_kg_per_m2,lag_1_reanalysis_relative_humidity_percent,lag_2_reanalysis_relative_humidity_percent,lag_1_reanalysis_specific_humidity_g_per_kg,lag_2_reanalysis_specific_humidity_g_per_kg,lag_1_reanalysis_tdtr_k,lag_2_reanalysis_tdtr_k,lag_1_station_avg_temp_c,lag_2_station_avg_temp_c,lag_1_station_diur_temp_rng_c,lag_2_station_diur_temp_rng_c,lag_1_station_max_temp_c,lag_2_station_max_temp_c,lag_1_station_min_temp_c,lag_2_station_min_temp_c
sj,1990,18,1990-04-30,0.1226,0.103725,0.19848329999999997,0.17761670000000002,12.42,297.57285714299996,297.742857143,292.414285714,299.8,295.9,32.0,73.3657142857,12.42,14.0128571429,2.62857142857,25.4428571429,6.9,29.4,20.0,16.0,4,69.78,69.78,66.0,0.10825,0.13962223333333335,0.17268013333333332,0.16798176666666667,298.1885714283333,298.354761905,293.933333333,300.40000000000003,296.5333333333333,25.346666666666664,77.59571428573332,15.411428571466667,2.433333333333333,26.290476190499998,6.585714285713333,31.099999999999998,21.666666666666668,12.42,12.42,12.42,12.42,16.0,16.0,0.1226,0.1226,0.103725,0.103725,0.19848329999999997,0.19848329999999997,0.17761670000000002,0.17761670000000002,297.57285714299996,297.57285714299996,297.742857143,297.742857143,292.414285714,292.414285714,299.8,299.8,295.9,295.9,32.0,32.0,73.3657142857,73.3657142857,14.0128571429,14.0128571429,2.62857142857,2.62857142857,25.4428571429,25.4428571429,6.9,6.9,29.4,29.4,20.0,20.0
sj,1990,19,1990-05-07,0.1699,0.142175,0.1623571,0.15548570000000003,22.82,298.211428571,298.44285714299997,293.951428571,300.9,296.4,17.94,77.36857142859999,22.82,15.3728571429,2.37142857143,26.714285714299997,6.37142857143,31.7,22.2,8.6,5,69.78,69.78,66.0,0.10825,0.13962223333333335,0.17268013333333332,0.16798176666666667,298.1885714283333,298.354761905,293.933333333,300.40000000000003,296.5333333333333,25.346666666666664,77.59571428573332,15.411428571466667,2.433333333333333,26.290476190499998,6.585714285713333,31.099999999999998,21.666666666666668,12.42,12.42,12.42,12.42,16.0,16.0,0.1226,0.1226,0.103725,0.103725,0.19848329999999997,0.19848329999999997,0.17761670000000002,0.17761670000000002,297.57285714299996,297.57285714299996,297.742857143,297.742857143,292.414285714,292.414285714,299.8,299.8,295.9,295.9,32.0,32.0,73.3657142857,73.3657142857,14.0128571429,14.0128571429,2.62857142857,2.62857142857,25.4428571429,25.4428571429,6.9,6.9,29.4,29.4,20.0,20.0
sj,1990,20,1990-05-14,0.03225,0.1729667,0.1572,0.1708429,34.54,298.781428571,298.87857142900003,295.434285714,300.5,297.3,26.1,82.0528571429,34.54,16.8485714286,2.3,26.714285714299997,6.485714285709999,32.2,22.8,41.4,5,69.78,69.78,66.0,0.10825,0.13962223333333335,0.17268013333333332,0.16798176666666667,298.1885714283333,298.354761905,293.933333333,300.40000000000003,296.5333333333333,25.346666666666664,77.59571428573332,15.411428571466667,2.433333333333333,26.290476190499998,6.585714285713333,31.099999999999998,21.666666666666668,22.82,12.42,22.82,12.42,8.6,16.0,0.1699,0.1226,0.142175,0.103725,0.1623571,0.19848329999999997,0.15548570000000003,0.17761670000000002,298.211428571,297.57285714299996,298.44285714299997,297.742857143,293.951428571,292.414285714,300.9,299.8,296.4,295.9,17.94,32.0,77.36857142859999,73.3657142857,15.3728571429,14.0128571429,2.37142857143,2.62857142857,26.714285714299997,25.4428571429,6.37142857143,6.9,31.7,29.4,22.2,20.0
sj,1990,21,1990-05-21,0.1286333,0.2450667,0.22755709999999998,0.2358857,15.36,298.987142857,299.228571429,295.31,301.4,297.0,13.9,80.3371428571,15.36,16.6728571429,2.4285714285699997,27.471428571399997,6.77142857143,33.3,23.3,4.0,5,72.72,72.72,54.0,0.1102611,0.18673613333333336,0.1823714,0.18740476666666664,298.6599999996667,298.85000000033324,294.8985714283333,300.93333333333334,296.9,19.313333333333333,79.91952380953332,16.29809523813333,2.3666666666666667,26.966666666666665,6.542857142856666,32.4,22.766666666666666,34.54,22.82,34.54,22.82,41.4,8.6,0.03225,0.1699,0.1729667,0.142175,0.1572,0.1623571,0.1708429,0.15548570000000003,298.781428571,298.211428571,298.87857142900003,298.44285714299997,295.434285714,293.951428571,300.5,300.9,297.3,296.4,26.1,17.94,82.0528571429,77.36857142859999,16.8485714286,15.3728571429,2.3,2.37142857143,26.714285714299997,26.714285714299997,6.485714285709999,6.37142857143,32.2,31.7,22.8,22.2
sj,1990,22,1990-05-28,0.1962,0.2622,0.2512,0.24734,7.52,299.518571429,299.664285714,295.821428571,301.9,297.5,12.2,80.46,7.52,17.21,3.01428571429,28.9428571429,9.37142857143,35.0,23.9,5.8,5,57.419999999999995,57.419999999999995,51.199999999999996,0.11902776666666669,0.2267444666666667,0.21198569999999997,0.21802286666666662,299.0957142856667,299.25714285733324,295.5219047616667,301.2666666666666,297.2666666666666,17.400000000000002,80.94999999999999,16.910476190499995,2.5809523809533332,27.709523809533334,7.542857142856666,33.49999999999999,23.33333333333333,15.36,34.54,15.36,34.54,4.0,41.4,0.1286333,0.03225,0.2450667,0.1729667,0.22755709999999998,0.1572,0.2358857,0.1708429,298.987142857,298.781428571,299.228571429,298.87857142900003,295.31,295.434285714,301.4,300.5,297.0,297.3,13.9,26.1,80.3371428571,82.0528571429,16.6728571429,16.8485714286,2.4285714285699997,2.3,27.471428571399997,26.714285714299997,6.77142857143,6.485714285709999,33.3,32.2,23.3,22.8
sj,1990,23,1990-06-04,0.1962,0.17485,0.2543143,0.18174289999999999,9.58,299.63,299.76428571400004,295.851428571,302.4,298.1,26.49,79.8914285714,9.58,17.2128571429,2.1,28.1142857143,6.94285714286,34.4,23.9,39.1,6,32.46,32.46,48.9,0.17367776666666668,0.22737223333333334,0.2443571333333333,0.22165619999999997,299.37857142866676,299.5523809523333,295.6609523806667,301.8999999999999,297.5333333333333,17.529999999999998,80.2295238095,17.031904761933333,2.514285714286667,28.176190476200002,7.69523809524,34.23333333333333,23.699999999999992,7.52,15.36,7.52,15.36,5.8,4.0,0.1962,0.1286333,0.2622,0.2450667,0.2512,0.22755709999999998,0.24734,0.2358857,299.518571429,298.987142857,299.664285714,299.228571429,295.821428571,295.31,301.9,301.4,297.5,297.0,12.2,13.9,80.46,80.3371428571,17.21,16.6728571429,3.01428571429,2.4285714285699997,28.9428571429,27.471428571399997,9.37142857143,6.77142857143,35.0,33.3,23.9,23.3
sj,1990,24,1990-06-11,0.1129,0.0928,0.2050714,0.2102714,3.48,299.207142857,299.221428571,295.86571428599996,301.3,297.7,38.6,82.0,3.48,17.2342857143,2.04285714286,27.4142857143,6.77142857143,32.2,23.3,29.7,6,20.58,20.58,74.6,0.16843333333333335,0.17661666666666667,0.2368619,0.21311809999999998,299.45190476200014,299.54999999966657,295.846190476,301.8666666666666,297.76666666666665,25.763333333333332,80.7838095238,17.219047619066668,2.385714285716667,28.157142857166672,7.69523809524,33.86666666666666,23.699999999999992,9.58,7.52,9.58,7.52,39.1,5.8,0.1962,0.1962,0.17485,0.2622,0.2543143,0.2512,0.18174289999999999,0.24734,299.63,299.518571429,299.76428571400004,299.664285714,295.851428571,295.821428571,302.4,301.9,298.1,297.5,26.49,12.2,79.8914285714,80.46,17.2128571429,17.21,2.1,3.01428571429,28.1142857143,28.9428571429,6.94285714286,9.37142857143,34.4,35.0,23.9,23.9
sj,1990,25,1990-06-18,0.0725,0.0725,0.1514714,0.1330286,151.12,299.591428571,299.528571429,296.531428571,300.6,298.4,30.0,83.3757142857,151.12,17.9771428571,1.57142857143,28.3714285714,7.685714285710001,33.9,22.8,21.1,6,164.17999999999998,164.17999999999998,89.89999999999999,0.1272,0.11338333333333335,0.20361903333333334,0.17501429999999998,299.4761904760001,299.50476190466657,296.0828571426667,301.4333333333333,298.0666666666666,31.696666666666662,81.7557142857,17.47476190476667,1.9047619047633333,27.966666666666672,7.133333333333333,33.49999999999999,23.333333333333325,3.48,9.58,3.48,9.58,29.7,39.1,0.1129,0.1962,0.0928,0.17485,0.2050714,0.2543143,0.2102714,0.18174289999999999,299.207142857,299.63,299.221428571,299.76428571400004,295.86571428599996,295.851428571,301.3,302.4,297.7,298.1,38.6,26.49,82.0,79.8914285714,17.2342857143,17.2128571429,2.04285714286,2.1,27.4142857143,28.1142857143,6.77142857143,6.94285714286,32.2,34.4,23.3,23.9
sj,1990,26,1990-06-25,0.10245,0.146175,0.1255714,0.1236,19.32,299.578571429,299.55714285700003,296.37857142900003,302.1,297.7,37.51,82.7685714286,19.32,17.79,1.8857142857099998,28.3285714286,7.385714285710001,33.9,22.8,21.1,6,173.91999999999996,173.91999999999996,71.9,0.09595000000000002,0.10382500000000001,0.16070473333333335,0.15563333333333335,299.45904761900016,299.4357142856665,296.2585714286667,301.3333333333333,297.9333333333333,35.37,82.71476190476666,17.667142857133335,1.8333333333333333,28.03809523810001,7.2809523809500005,33.33333333333332,22.966666666666658,151.12,3.48,151.12,3.48,21.1,29.7,0.0725,0.1129,0.0725,0.0928,0.1514714,0.2050714,0.1330286,0.2102714,299.591428571,299.207142857,299.528571429,299.221428571,296.531428571,295.86571428599996,300.6,301.3,298.4,297.7,30.0,38.6,83.3757142857,82.0,17.9771428571,17.2342857143,1.57142857143,2.04285714286,28.3714285714,27.4142857143,7.685714285710001,6.77142857143,33.9,32.2,22.8,23.3
sj,1990,27,1990-07-02,0.10245,0.12155,0.16068329999999997,0.20256670000000002,14.41,300.154285714,300.278571429,296.651428571,302.3,298.7,28.4,81.2814285714,14.41,18.071428571400002,2.01428571429,28.3285714286,6.514285714290001,33.9,24.4,1.1,7,184.84999999999997,184.84999999999997,43.3,0.09246666666666668,0.11340833333333335,0.1459087,0.15306510000000004,299.77476190466683,299.7880952383332,296.52047619033334,301.6666666666667,298.2666666666666,31.97,82.47523809523334,17.946190476166667,1.8238095238100003,28.342857142866677,7.195238095236667,33.89999999999999,23.33333333333333,19.32,151.12,19.32,151.12,21.1,21.1,0.10245,0.0725,0.146175,0.0725,0.1255714,0.1514714,0.1236,0.1330286,299.578571429,299.591428571,299.55714285700003,299.528571429,296.37857142900003,296.531428571,302.1,300.6,297.7,298.4,37.51,30.0,82.7685714286,83.3757142857,17.79,17.9771428571,1.8857142857099998,1.57142857143,28.3285714286,28.3714285714,7.385714285710001,7.685714285710001,33.9,33.9,22.8,22.8
