city,year,weekofyear,total_cases
sj,2008,18,15
sj,2008,19,20
sj,2008,20,15
sj,2008,21,10
sj,2008,22,11
sj,2008,23,20
sj,2008,24,14
sj,2008,25,26
sj,2008,26,31
sj,2008,27,20
sj,2008,28,15
sj,2008,29,23
sj,2008,30,24
sj,2008,31,24
sj,2008,32,38
sj,2008,33,46
sj,2008,34,43
sj,2008,35,24
sj,2008,36,73
sj,2008,37,106
sj,2008,38,81
sj,2008,39,17
sj,2008,40,14
sj,2008,41,53
sj,2008,42,59
sj,2008,43,55
sj,2008,44,39
sj,2008,45,51
sj,2008,46,21
sj,2008,47,55
sj,2008,48,14
sj,2008,49,14
sj,2008,50,13
sj,2008,51,13
sj,2008,52,12
sj,2009,1,16
sj,2009,2,15
sj,2009,3,14
sj,2009,4,13
sj,2009,5,15
sj,2009,6,14
sj,2009,7,13
sj,2009,8,12
sj,2009,9,10
sj,2009,10,27
sj,2009,11,27
sj,2009,12,15
sj,2009,13,6
sj,2009,14,4
sj,2009,15,5
sj,2009,16,5
sj,2009,17,6
sj,2009,18,7
sj,2009,19,8
sj,2009,20,8
sj,2009,21,132
sj,2009,22,26
sj,2009,23,15
sj,2009,24,16
sj,2009,25,22
sj,2009,26,17
sj,2009,27,26
sj,2009,28,57
sj,2009,29,22
sj,2009,30,23
sj,2009,31,22
sj,2009,32,22
sj,2009,33,26
sj,2009,34,46
sj,2009,35,39
sj,2009,36,73
sj,2009,37,49
sj,2009,38,46
sj,2009,39,51
sj,2009,40,49
sj,2009,41,67
sj,2009,42,72
sj,2009,43,92
sj,2009,44,24
sj,2009,45,28
sj,2009,46,50
sj,2009,47,62
sj,2009,48,57
sj,2009,49,49
sj,2009,50,22
sj,2009,51,20
sj,2009,52,19
sj,2010,53,17
sj,2010,1,17
sj,2010,2,16
sj,2010,3,14
sj,2010,4,21
sj,2010,5,18
sj,2010,6,15
sj,2010,7,14
sj,2010,8,13
sj,2010,9,11
sj,2010,10,14
sj,2010,11,8
sj,2010,12,8
sj,2010,13,10
sj,2010,14,11
sj,2010,15,9
sj,2010,16,10
sj,2010,17,23
sj,2010,18,22
sj,2010,19,15
sj,2010,20,16
sj,2010,21,24
sj,2010,22,23
sj,2010,23,56
sj,2010,24,58
sj,2010,25,47
sj,2010,26,39
sj,2010,27,44
sj,2010,28,31
sj,2010,29,71
sj,2010,30,55
sj,2010,31,59
sj,2010,32,48
sj,2010,33,40
sj,2010,34,43
sj,2010,35,123
sj,2010,36,95
sj,2010,37,119
sj,2010,38,134
sj,2010,39,46
sj,2010,40,60
sj,2010,41,51
sj,2010,42,86
sj,2010,43,71
sj,2010,44,18
sj,2010,45,59
sj,2010,46,81
sj,2010,47,52
sj,2010,48,14
sj,2010,49,14
sj,2010,50,12
sj,2010,51,38
sj,2011,52,39
sj,2011,1,14
sj,2011,2,12
sj,2011,3,14
sj,2011,4,16
sj,2011,5,17
sj,2011,6,16
sj,2011,7,13
sj,2011,8,12
sj,2011,9,11
sj,2011,10,9
sj,2011,11,6
sj,2011,12,6
sj,2011,13,7
sj,2011,14,5
sj,2011,15,7
sj,2011,16,10
sj,2011,17,7
sj,2011,18,14
sj,2011,19,12
sj,2011,20,21
sj,2011,21,19
sj,2011,22,16
sj,2011,23,37
sj,2011,24,18
sj,2011,25,56
sj,2011,26,75
sj,2011,27,59
sj,2011,28,48
sj,2011,29,42
sj,2011,30,44
sj,2011,31,49
sj,2011,32,48
sj,2011,33,90
sj,2011,34,48
sj,2011,35,14
sj,2011,36,49
sj,2011,37,38
sj,2011,38,39
sj,2011,39,44
sj,2011,40,46
sj,2011,41,54
